epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,6667.3,0.52347,0.36759,0.86048,0.50209,0.44109,0.46418,0.35183,1.04994,1.84921,1.19181,0.000225708,0.000225708,0.000225708
97,6735.06,0.53312,0.39379,0.87076,0.4108,0.42231,0.44646,0.30991,1.0871,2.39629,1.19961,0.000225158,0.000225158,0.000225158
98,6804.81,0.51928,0.38241,0.8616,0.3086,0.57744,0.43004,0.30302,1.09444,2.52623,1.19503,0.000224607,0.000224607,0.000224607
99,6871.04,0.51326,0.36749,0.85939,0.50569,0.45753,0.42481,0.29898,1.06784,2.26397,1.18406,0.000224057,0.000224057,0.000224057
100,6938.42,0.51733,0.37039,0.86504,0.68546,0.31256,0.36816,0.25938,1.0706,2.17486,1.18871,0.000223506,0.000223506,0.000223506
101,7004.67,0.5027,0.3655,0.86012,0.51863,0.4457,0.4235,0.29476,1.07441,1.96472,1.18865,0.000222956,0.000222956,0.000222956
102,7073.04,0.50381,0.3599,0.85464,0.39361,0.41632,0.4237,0.28791,1.07195,1.97647,1.21024,0.000222406,0.000222406,0.000222406
103,7140.85,0.49915,0.36117,0.85858,0.43932,0.44194,0.38844,0.27051,1.08821,2.09499,1.23257,0.000221855,0.000221855,0.000221855
104,7208.53,0.50661,0.35947,0.86232,0.52222,0.46047,0.41697,0.29798,1.09009,2.10496,1.21965,0.000221305,0.000221305,0.000221305
105,7277.05,0.50204,0.35604,0.8584,0.59555,0.37795,0.38167,0.27288,1.0998,2.08661,1.23308,0.000220754,0.000220754,0.000220754
106,7344.05,0.48862,0.33842,0.85387,0.36519,0.40336,0.40142,0.28018,1.10944,2.14627,1.23365,0.000220204,0.000220204,0.000220204
107,7413.66,0.49925,0.35523,0.85221,0.6332,0.42504,0.45426,0.30976,1.09077,2.11497,1.22463,0.000219653,0.000219653,0.000219653
108,7481.79,0.49913,0.35976,0.85095,0.67684,0.31947,0.453,0.3195,1.08422,2.32251,1.22469,0.000219103,0.000219103,0.000219103
109,7552.7,0.49035,0.34084,0.84794,0.66275,0.36961,0.47494,0.33723,1.0955,2.12956,1.21895,0.000218552,0.000218552,0.000218552
110,7624.07,0.48624,0.34168,0.854,0.28504,0.56911,0.41019,0.27014,1.08569,2.44253,1.20693,0.000218002,0.000218002,0.000218002
111,7694.65,0.4903,0.34209,0.85672,0.61267,0.33767,0.3697,0.25821,1.09706,2.26566,1.22349,0.000217452,0.000217452,0.000217452
112,7763.07,0.49331,0.34858,0.86024,0.67528,0.39923,0.38597,0.27457,1.08979,2.24642,1.22779,0.000216901,0.000216901,0.000216901
113,7832.99,0.48456,0.34539,0.85565,0.50003,0.48396,0.4876,0.32791,1.07687,2.03602,1.21843,0.000216351,0.000216351,0.000216351
114,7903.03,0.49066,0.3503,0.85892,0.50088,0.4626,0.45227,0.31252,1.09538,2.21637,1.22768,0.0002158,0.0002158,0.0002158
115,7971.68,0.47972,0.32498,0.84717,0.51913,0.38693,0.3667,0.25298,1.11021,2.44164,1.21526,0.00021525,0.00021525,0.00021525
116,8039.89,0.47959,0.3379,0.84683,0.38994,0.37198,0.35128,0.24996,1.10502,2.58345,1.21418,0.000214699,0.000214699,0.000214699
117,8108.33,0.47877,0.33163,0.85258,0.56816,0.42954,0.40361,0.29063,1.05867,2.07901,1.20003,0.000214149,0.000214149,0.000214149
118,8174.37,0.48527,0.33136,0.85761,0.64883,0.38387,0.44653,0.3017,1.08619,2.18727,1.22644,0.000213599,0.000213599,0.000213599
119,8243.07,0.48591,0.32906,0.85094,0.57609,0.36625,0.37891,0.27008,1.08637,2.28777,1.22363,0.000213048,0.000213048,0.000213048
120,8309.58,0.46093,0.32806,0.84904,0.31843,0.63471,0.46118,0.32602,1.08592,2.34179,1.22441,0.000212498,0.000212498,0.000212498
